,_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,TIMESTAMP,createdAt,updatedAt,__v,SLBMH_TOT_VAL,VWAP,mTIMESTAMP,CA,symChange
532,63ce8925ed0f3900079b944c,GMRINFRA,EQ,N,43.75,41.7,42.8,42.4,42.4,42.1,35041530,1494503703.15,49.15,22.5,129606,INE776C01039,2022-02-01,2022-01-31T18:30:00.000Z,2023-01-23T13:18:29.163Z,2023-01-23T13:18:29.163Z,0,,42.65,01-Feb-2022,,
533,63ce89343853d8000737e27a,GMRINFRA,EQ,N,44.2,42.7,42.7,43.8,43.75,42.4,29735952,1297940771.05,49.15,22.5,113342,INE776C01039,2022-02-02,2022-02-01T18:30:00.000Z,2023-01-23T13:18:44.301Z,2023-01-23T13:18:44.301Z,0,,43.65,02-Feb-2022,,
534,63ce8943d0a9900007ad3bd0,GMRINFRA,EQ,N,44.5,43.45,43.85,44.15,43.9,43.8,18409475,811486118.55,49.15,22.5,75051,INE776C01039,2022-02-03,2022-02-02T18:30:00.000Z,2023-01-23T13:18:59.439Z,2023-01-23T13:18:59.439Z,0,,44.08,03-Feb-2022,,
535,63ce8952c7307c0007d9ffde,GMRINFRA,EQ,N,44.15,42.95,44.15,43.15,43.05,44.15,12039836,523590448.45,49.15,22.5,57601,INE776C01039,2022-02-04,2022-02-03T18:30:00.000Z,2023-01-23T13:19:14.521Z,2023-01-23T13:19:14.521Z,0,,43.49,04-Feb-2022,,
536,63ce8961ea62a90007760080,GMRINFRA,EQ,N,43.2,41.8,43.0,42.4,42.4,43.15,12543665,531284606.65,49.15,22.5,62019,INE776C01039,2022-02-07,2022-02-06T18:30:00.000Z,2023-01-23T13:19:29.889Z,2023-01-23T13:19:29.889Z,0,,42.35,07-Feb-2022,,
537,63ce8971a34e360007d0d6ea,GMRINFRA,EQ,N,42.85,41.3,42.55,42.6,42.45,42.4,20925822,881251454.95,49.15,22.5,81188,INE776C01039,2022-02-08,2022-02-07T18:30:00.000Z,2023-01-23T13:19:45.477Z,2023-01-23T13:19:45.477Z,0,,42.11,08-Feb-2022,,
538,63ce897ff1500d00079a1294,GMRINFRA,EQ,N,43.75,42.15,43.1,43.15,43.35,42.6,19589633,842268342.1,49.15,22.5,74062,INE776C01039,2022-02-09,2022-02-08T18:30:00.000Z,2023-01-23T13:19:59.939Z,2023-01-23T13:19:59.939Z,0,,43.0,09-Feb-2022,,
539,63ce898feb800e00070241ce,GMRINFRA,EQ,N,44.0,42.25,44.0,42.55,42.55,43.15,22025673,940495919.9,49.15,22.5,89622,INE776C01039,2022-02-10,2022-02-09T18:30:00.000Z,2023-01-23T13:20:15.069Z,2023-01-23T13:20:15.069Z,0,,42.7,10-Feb-2022,,
540,63ce899ef1500d00079a1c03,GMRINFRA,EQ,N,43.15,41.8,42.0,42.35,42.45,42.55,14180502,604907867.05,49.15,22.5,54141,INE776C01039,2022-02-11,2022-02-10T18:30:00.000Z,2023-01-23T13:20:30.136Z,2023-01-23T13:20:30.136Z,0,,42.66,11-Feb-2022,,
541,63ce89add0a9900007ad4576,GMRINFRA,EQ,N,41.4,39.0,41.1,39.2,39.15,42.35,22010298,878510191.95,49.15,22.5,75255,INE776C01039,2022-02-14,2022-02-13T18:30:00.000Z,2023-01-23T13:20:45.301Z,2023-01-23T13:20:45.301Z,0,,39.91,14-Feb-2022,,
542,63ce89bced0f3900079b9f89,GMRINFRA,EQ,N,41.25,38.95,39.4,41.1,40.9,39.2,30187537,1207973022.7,49.15,22.5,65806,INE776C01039,2022-02-15,2022-02-14T18:30:00.000Z,2023-01-23T13:21:00.455Z,2023-01-23T13:21:00.455Z,0,,40.02,15-Feb-2022,,
543,63ce89cbc7307c0007da09c6,GMRINFRA,EQ,N,41.45,40.5,41.25,40.65,40.6,41.1,10503655,430376468.7,49.15,22.5,40266,INE776C01039,2022-02-16,2022-02-15T18:30:00.000Z,2023-01-23T13:21:15.477Z,2023-01-23T13:21:15.477Z,0,,40.97,16-Feb-2022,,
544,63ce89daeb800e0007024b15,GMRINFRA,EQ,N,41.1,39.9,40.8,40.35,40.35,40.65,25686456,1037482460.1,49.15,22.5,47998,INE776C01039,2022-02-17,2022-02-16T18:30:00.000Z,2023-01-23T13:21:30.612Z,2023-01-23T13:21:30.612Z,0,,40.39,17-Feb-2022,,
545,63ce89e9d0a9900007ad4eff,GMRINFRA,EQ,N,40.8,39.8,40.1,39.95,39.9,40.35,8122542,327108745.65,49.15,22.5,12929,INE776C01039,2022-02-18,2022-02-17T18:30:00.000Z,2023-01-23T13:21:45.698Z,2023-01-23T13:21:45.698Z,0,,40.27,18-Feb-2022,,
546,63d7aba0ad649f00071bfcab,GMRINFRA,EQ,N,38.7,37.25,37.75,38.45,38.4,37.6,11117134,422934965.05,46.1,22.5,38967,INE776C01039,2021-12-01,2021-11-30T18:30:00.000Z,2023-01-30T11:36:00.555Z,2023-01-30T11:36:00.555Z,0,,38.04,01-Dec-2021,,
547,63d7abafd0920400073c5888,GMRINFRA,EQ,N,41.75,38.25,38.45,41.3,41.15,38.45,44597242,1806972820.55,46.1,22.5,78030,INE776C01039,2021-12-02,2021-12-01T18:30:00.000Z,2023-01-30T11:36:15.650Z,2023-01-30T11:36:15.650Z,0,,40.52,02-Dec-2021,,
548,63d7abbe3aa4bc0006fd2f28,GMRINFRA,EQ,N,42.85,40.95,41.15,42.45,42.8,41.3,24641483,1030857463.75,46.1,22.5,60512,INE776C01039,2021-12-03,2021-12-02T18:30:00.000Z,2023-01-30T11:36:30.705Z,2023-01-30T11:36:30.705Z,0,,41.83,03-Dec-2021,,
